RecordedDate,song1,song2,song3,song4,song5,song6,song7,song8,song9,song10,song11,song12,song13,song14,song15,song16,song17,song18,song19,song20,song21,song22,song23,song24,song25,song26,song27,song28,song29,song30,song31,song32,song33,song34,song35,song36,song37,song38,ATTCHECK,ATTCHECK.r,song39,song40,song41,song42,song43,song44,song45,song46,song47,song48,song49,song50,CHOICE,describe,certain.liking,age,gender,gender‎‎.selfdescribe,OPTIONS
9/22/21 14:29,2,1,1,1,2,1,1,1,2,1,1,1,1,2,2,1,1,2,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,1,0,1,1,1,2,1,2,1,1,1,1,1,2,2,"A girl finally get her drivers license, but she already broke up with the boy who said will ride with her. She knows that everyone is imperfect, but when she actually broke up with the boy, she feels sadder than she thought she will be before.",2,20,0,,16
9/22/21 15:21,2,1,1,1,1,1,1,2,1,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,1,2,2,1,2,2,1,2,1,1,1,1,1,0,1,1,2,1,2,1,1,1,1,1,2,1,2,Kanye West walked up to a piano and started to play it and as he was playing it and rapping a big group of ballerinas were dancing. There was also a long table with people sitting at it.,3,20,1,,15
9/22/21 16:56,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,0,2,1,2,1,2,1,1,2,1,1,1,1,2,A lot of futuristic edits which was cool!,4,20,1,,12
9/22/21 17:33,1,1,1,2,2,1,1,1,1,1,2,1,2,1,1,1,2,2,2,2,2,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,1,1,0,1,1,1,2,1,2,2,2,1,2,2,1,2,People dancing,4,20,1,,26
9/22/21 18:05,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,0,1,1,1,2,1,1,2,1,1,1,1,1,2,Adele was in an old house.,5,21,0,,15
9/22/21 18:07,1,2,2,2,2,2,1,2,1,2,1,1,2,1,1,1,1,2,2,1,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,2,1,1,0,1,1,2,1,1,1,1,1,1,2,2,1,2,-,3,20,0,,22
9/22/21 18:49,2,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,2,2,2,2,1,1,1,2,2,1,1,2,2,1,2,2,1,2,2,1,2,2,1,0,1,1,2,2,1,2,2,2,2,2,2,2,1,Sia or the little girl dancing around within a room.,5,19,1,,27
9/22/21 19:32,2,1,1,1,2,2,1,2,2,1,2,1,2,2,1,1,2,2,1,1,2,1,1,2,2,2,2,1,1,1,2,2,1,2,2,1,1,1,1,0,1,1,2,1,2,1,2,2,2,2,1,2,2,An artistically edited and produced video that comments and captures events.,2,20,0,,26
9/22/21 19:33,2,1,2,1,2,1,1,2,2,2,1,1,2,2,2,1,2,1,1,1,1,1,1,1,2,2,2,2,2,1,2,1,2,1,1,1,2,1,1,0,1,1,2,2,1,1,2,1,1,1,2,2,1,singing and dancing around outside,5,20,0,,23
9/22/21 21:40,1,2,1,2,2,1,1,2,2,1,2,1,2,2,2,1,1,1,1,1,2,2,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,2,1,0,1,1,1,2,1,1,1,1,1,1,1,1,2,Everyone was dancing and having a good time while floating in space,5,20,0,,16
9/22/21 22:09,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,"Kesha woke up watch her family eat breakfast, road around in a bike, and there was a lot of confettis",3,21,0,,43
9/22/21 22:39,2,1,1,2,1,1,2,1,1,2,2,1,2,1,2,1,1,1,1,1,2,1,2,1,2,2,1,2,2,1,2,2,1,2,1,2,2,1,1,0,1,1,2,2,1,1,1,2,1,1,2,1,1,Umbrella was singing and dancing while there were many special effects.,5,20,1,,22
9/23/21 7:07,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,1,2,2,2,2,1,2,1,1,1,1,1,0,1,1,1,2,1,2,1,1,1,1,2,2,2,"It was just a bunch of random people dancing in all kinds of places--the street, the store, etc. There were a few famous people (Jimmy Kimmel? and Michael Scott of The Office)",3,21,0,,16
9/23/21 7:34,2,1,1,2,1,1,1,1,1,2,2,1,2,1,2,1,2,2,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,The music video was essentially scenes from the movie and in between some scenes from the movie they were on the stage singing.,6,19,1,,14
9/23/21 8:10,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,1,1,1,1,1,1,2,There were many ballerinas dancing around Kanye as he played the piano.,5,20,1,,7
9/23/21 9:22,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,a guy drove around in a car,5,21,1,,5
9/23/21 10:19,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,"country music, bonfire, dancing",6,19,0,,6
9/23/21 10:32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,0
9/23/21 10:59,2,1,1,2,2,1,2,2,2,2,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,1,1,2,2,1,2,1,1,2,2,2,1,2,1,0,1,1,2,2,2,2,2,2,1,1,1,2,1,Christmas day performance,7,20,1,,25
9/23/21 11:00,2,2,1,1,2,1,1,2,2,1,2,1,2,1,2,1,2,2,2,1,2,1,1,1,1,1,2,1,2,1,2,2,1,2,1,1,1,1,1,0,1,1,2,1,2,1,2,2,1,2,1,1,2,A mix of dancing and close shots of the main singing groups vocal team singing,3,22,1,,22
9/23/21 12:26,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,2,1,2,2,1,2,2,2,1,2,1,2,1,1,1,1,1,0,1,1,2,1,1,1,1,1,1,1,1,1,2,U2 was stinding in a dark room and singing their song with guitars,5,19,1,,12
9/23/21 12:34,2,1,1,2,2,1,1,1,1,2,1,1,2,2,2,1,2,2,2,2,2,1,1,1,2,1,2,2,2,1,2,2,2,2,2,1,2,1,1,0,1,1,2,2,2,2,2,2,1,2,1,2,2,It shows a crime neighborhood and shows the police then changes to dancing during the song,5,20,1,,30
9/23/21 15:36,1,2,1,1,1,1,1,2,2,1,2,1,1,2,2,2,2,1,1,1,2,2,2,1,1,2,2,2,2,1,2,2,1,2,2,2,1,1,1,0,1,2,2,2,1,1,2,2,2,2,1,1,1,"She danced, had a pony, and had men sing with cool suits.",7,18,0,,27
9/23/21 20:48,1,1,1,1,2,1,1,2,2,1,1,1,2,2,1,1,2,1,1,1,2,2,1,1,2,1,2,1,2,1,2,2,2,1,1,1,2,1,1,0,1,1,2,2,1,1,2,2,2,2,2,2,1,Basically he is painting himself as somebody that someone used to know. As the video he keeps getting painted and turns into something that is not known anymore.,7,20,0,,23
9/24/21 7:46,2,2,2,2,2,2,2,2,1,1,1,1,2,1,2,1,2,1,1,1,2,2,1,1,2,1,2,1,2,1,2,2,2,2,2,1,1,2,1,0,2,1,2,2,2,2,1,2,2,2,1,2,2,"The video was a reference to the movie Mean Girls, there were many celebrity appearances, scenes at a football field, house, and school.",6,21,0,,31
9/24/21 9:46,2,2,1,2,1,1,1,2,1,2,2,1,2,1,1,1,2,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,0,1,1,2,2,2,2,2,2,2,2,2,1,2,"It was a choppyish video of the singer  some in black and white and some in darker colors, he looks like he was singing on a stage with his band. The video seems laggy but it is how the music video is.",4,21,0,,33
9/24/21 9:47,1,2,2,2,1,2,1,2,1,2,1,2,1,2,2,2,2,1,1,2,1,2,2,1,2,1,2,2,2,2,2,1,2,2,2,1,2,1,1,0,2,1,1,1,2,2,2,1,1,2,2,2,1,good,5,22,0,,31
9/24/21 12:04,2,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,2,1,2,2,1,1,1,1,2,2,1,2,2,2,2,2,2,2,1,1,2,1,1,0,1,1,2,1,2,1,1,1,1,1,1,1,2,Two rappers danced and sang in multiple types of scenary,4,19,1,,19
9/24/21 17:36,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,0,2,1,1,1,2,1,1,1,1,2,2,1,2,Harry Styles took care of a fish to eventually set it free.,5,19,0,,9
9/24/21 18:42,2,1,1,1,1,1,1,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,2,1,1,1,1,1,0,1,1,2,2,1,1,1,1,1,1,1,1,1,Michael jackson basically is going out and finding billie jean while someone is after him watching his every move. I have personally watched the video several times.,7,20,1,,12
9/24/21 19:13,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,0,2,1,2,1,2,1,1,2,1,1,1,1,2,1,4,20,1,,9
9/24/21 19:16,1,2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,0,2,1,1,2,2,2,2,2,1,2,2,2,2,People expressing feelings through visualize intense emotions,6,20,0,,40
9/24/21 22:19,1,1,2,1,1,1,2,2,2,1,1,2,2,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,0,1,1,1,1,1,2,1,1,1,1,1,1,2,narrative,4,20,0,,12
9/24/21 22:40,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,2,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,0,1,1,1,2,1,2,2,2,2,1,2,2,2,It wasn't really a music video but just audio. There were rifts and the song made me reminisce a lot when Hey Jude became a huge hit. It definitely evoked some emotions from my past.,4,22,1,,34
9/25/21 7:14,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,2,2,2,1,1,1,1,1,1,2,1,2,1,2,2,1,1,1,1,1,0,1,1,2,1,2,1,2,2,1,1,2,1,2,"I watched a music video with Beyonce and two other backup dancers perform her single ""Single Ladies"". The video was in black and white while the three ladies were dancing to the song.",4,20,1,,16
9/25/21 7:47,2,2,1,2,1,1,1,1,1,2,2,2,2,1,2,1,1,1,1,1,2,2,1,1,1,1,2,2,2,1,2,2,1,2,2,2,2,2,1,0,1,1,2,2,2,2,2,2,1,1,1,2,2,Girls dancing in 80s outfits,3,20,0,,27
9/25/21 8:29,1,1,1,1,2,1,2,2,2,1,1,2,2,1,2,1,1,2,2,1,1,2,1,1,2,2,1,1,2,1,2,1,1,2,1,1,1,1,1,0,1,1,1,2,1,2,2,1,2,2,2,1,2,Adele is trying to reconnect with herself,6,21,0,,21
9/25/21 10:51,2,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,2,1,2,1,2,1,2,1,1,1,1,2,1,2,1,1,1,2,1,0,1,1,1,1,1,1,1,2,1,1,1,1,1,They were racing cars,4,19,1,,13
9/25/21 11:25,2,2,1,1,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,2,2,1,2,1,1,0,1,1,2,1,2,1,2,2,1,1,1,2,2,it was black and white music video and they preformed in a warehouse,4,21,1,,30
9/25/21 12:07,2,1,1,2,1,2,2,1,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,1,1,2,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,She was a cheerleader and then she lit a room on fire.,6,22,0,,17
9/25/21 13:10,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,2,1,0,1,1,1,1,1,2,1,1,1,1,2,2,2,I saw men fighting.,4,20,1,,12
9/25/21 13:40,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,2,1,2,2,2,1,0,1,2,1,2,1,2,2,1,1,2,2,2,2,selena's video was more a lyric video,4,21,0,,36
9/25/21 13:56,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,Hey Jude didn't play a video its just the 1 in yellow on a red background,4,20,1,,2
9/22/21 7:50,1,2,2,2,2,2,1,2,2,2,2,1,1,2,2,1,1,1,1,2,2,1,2,1,2,2,1,2,2,1,2,1,1,1,1,2,2,1,2,0,1,1,2,2,2,1,2,1,1,1,2,1,2,"in the music video, she appeared to be said singing her emotions away",5,20,0,,26
9/22/21 8:01,2,1,1,1,1,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,1,2,1,1,1,2,2,1,1,1,2,0,1,1,1,1,1,1,1,2,2,2,2,2,2,"A bunch of different people with different lives are shown in different cars on the highway, all coming together for this song",3,20,0,,22
9/22/21 8:07,2,2,2,2,1,2,1,2,2,2,1,1,2,2,2,2,2,1,2,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,0,2,1,2,1,2,1,2,2,2,2,1,1,1,"Alicia was singing while playing the piano , riding the bus passing jail mates in the yard",5,21,0,,35
9/22/21 8:53,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,1,2,1,1,2,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,1,1,2,0,1,2,1,1,1,1,1,1,1,1,2,1,1,"the girl stepped in as the guy was singing to add to his performance, i have watched the video a number of times with my family",5,20,0,,19
9/22/21 12:17,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,madonna was onstage it was dark,2,19,0,,50
9/22/21 12:23,2,1,1,2,2,1,1,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,1,2,0,1,1,2,2,2,2,2,2,1,2,2,2,2,eventful and partying,5,19,1,,35
9/22/21 12:27,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,1,2,1,2,1,1,1,2,2,1,2,2,2,2,1,2,0,1,1,1,2,2,1,2,2,1,2,1,2,1,The singer was singing the song while the video showed his body parts slowly being painted in,7,20,0,,32
9/22/21 12:38,2,1,1,1,1,1,2,2,2,2,2,1,2,1,1,1,2,2,2,2,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,1,1,1,2,0,1,1,2,2,1,1,1,2,1,1,1,1,1,Describes Eminems life and how we got started into rap music,4,22,1,,22
9/22/21 12:48,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,2,0,1,1,2,1,2,1,1,1,1,1,1,1,2,"In the music video, eminem was in a rap battle with another guy. It kept cutting to different parts of his rapping and him on the street.",6,20,0,,7
9/22/21 13:29,1,2,1,2,2,2,1,1,1,2,2,2,2,2,2,2,1,1,2,1,2,2,1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,0,1,2,1,2,1,2,2,2,2,1,2,2,1,"it started off with a voice over, and then went from color to black and white a couple times, they all stood in lines and sang and marched",7,19,0,,34
9/22/21 17:07,1,1,2,2,2,2,1,2,2,1,2,2,1,2,2,1,1,2,2,2,1,1,2,1,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,0,1,2,2,2,2,2,2,1,1,2,2,2,1,Taylor went to a fantastic world through the piano.,6,21,1,,34
9/22/21 17:40,1,1,1,2,2,1,1,2,1,1,2,1,2,2,2,1,2,2,2,2,1,1,2,2,2,2,1,2,2,1,2,2,1,2,1,1,1,1,2,0,2,2,2,2,2,2,2,2,2,1,2,1,2,The Weeknd was singing in a room and it was very dramatic and there were many people in the video,2,20,1,,30
9/23/21 9:36,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,1,1,2,0,1,1,2,2,2,1,1,2,1,1,1,1,1,I watched it 80% through and then got tired of the song but it was just a guy standing singing then they panned to another girl standing.,5,21,1,,12
9/23/21 10:05,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,It is a highshool theme and Ariana is the diva.,4,20,0,,50
9/24/21 12:59,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,0,2,1,2,1,2,2,2,2,2,2,2,2,2,singing,1,19,0,,41
9/24/21 14:06,2,2,2,2,2,2,1,2,1,1,1,1,2,2,2,1,2,2,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,0,1,1,2,2,1,1,1,2,2,2,1,1,2,Lil nas x was dancing,1,19,0,,21
9/24/21 23:07,2,1,2,2,2,1,1,1,1,1,2,1,1,2,2,1,2,2,1,2,2,1,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,1,2,0,1,1,2,2,2,1,1,2,2,2,1,2,2,Literally nothing. The lyrics we're popping up on the screen.,6,20,1,,30
9/25/21 11:14,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,0,2,2,2,2,2,1,2,2,2,2,2,1,2,The people were dancing,4,21,1,,42
9/22/21 7:39,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,2,1,1,1,1,1,1,1,2,She got into an elevator to space and danced a lot and then DaBaby came in too. Then they ended up in space.,6,21,1,,5
9/22/21 7:40,1,2,1,1,1,2,1,2,2,1,1,2,2,2,2,1,2,2,1,1,1,2,2,1,1,2,2,1,1,1,2,1,1,1,2,2,1,2,,1,1,1,2,2,1,2,2,2,2,2,2,1,1,Harry found a fish and was raising it throughout the vieo until he finally returned it to the see with all its friends.,7,19,1,,26
